content,timestamp,title
"
　　国家外汇局最新公布的《2017年上半年中国国际收支报告》显示，2017年上半年，全球经济继续平稳复苏，主要经济体货币政策仍有分化，国际金融市场波动性下降;我国经济稳中向好态势更趋明显，金融市场运行保持平稳，人民币对美元汇率稳中有升。2017年上半年，我国国际收支呈现基本平衡，经常账户、非储备性质的金融账户重现“双顺差”，外汇储备稳步回升。首先，经常账户持续顺差，上半年为693亿美元，与GDP之比为1.2%，仍处于合理区间。其中，货物贸易差额与GDP之比为3.9%，服务贸易差额与GDP之比为-2.4%。其次，跨境资本流动形势回稳向好，非储备性质的金融账户重现顺差，上半年为679亿美元，2016年同期为逆差1787亿美元。其中，境内主体对外投资更加理性有序，上半年直接投资、证券投资、其他投资等对外资产累计净增加1342亿美元，同比少增45%；境外主体来华各类投资较快回升，上半年累计净流入2021亿美元，同比增加2.2倍。
　　截至2017年6月末，我国外汇储备余额为30568亿美元，较 2016年末上升463亿美元。2017年下半年，预计我国经常账户将维持较合理的顺差规模，跨境资本流动保持总体稳定。未来在国内经济企稳向好、对外开放逐步加深、市场预期进一步趋稳的情况下，我国国际收支平衡的基础将更加稳固。外汇管理部门将紧紧围绕服务实体经济、防控金融风险、深化金融改革三项任务开展工作，继续坚持改革开放，提升贸易和投资便利化水平，积极防范跨境资本流动风险，维护外汇市场健康稳定发展。
",发布日期：2017-09-29 08:30,外汇局公布2017年上半年国际收支报告我国国际收支平衡基础更加稳固
"
　　国家外汇局最新公布的数据显示，2017年6月末，我国银行业对外金融资产9694亿美元，对外负债11485亿美元，对外净负债1791亿美元，其中，人民币净负债2403亿美元，外币净资产611亿美元。
　　在银行业对外金融资产中，存贷款资产7487亿美元，债券资产964亿美元，股权等其他资产1243亿美元，分别占银行业对外金融资产的77%、10%和13%。分币种看，人民币资产1146亿美元，美元资产6719亿美元，其他币种资产1828亿美元，分别占12%、69%和19%。银行业对外金融资产中，投向境外银行部门4786亿美元，占比49%；投向境外非银行部门4908亿美元，占比51%。
　　在银行业对外负债中，存贷款负债6546亿美元，债券负债1302亿美元，股权等其他负债3638亿美元，分别占银行业对外负债的57%、11%和32%。分币种看，人民币负债3549亿美元，美元负债4419亿美元，其他币种负债3517亿美元，分别占31%、38%和31%。我国银行业对外负债中，来自境外银行部门4845亿美元，占比42%；来自境外非银行部门6640亿美元，占比58%。
",发布日期：2017-09-28 07:29,今年6月末我国银行业对外净负债1791亿美元
"
　　9月以来，ICO、虚拟货币在中国经历了一轮“溯及既往”的最强监管。在监管大潮下，有“小白玩家”忙着退币，有人坚定持币“长期看涨”，有人转战场外和海外市场继续交易，也有人假冒购币者试图在混乱中谋取利益。
　　9月30日，虚拟货币交易所即将彻底关停其在中国的所有交易活动。“未来怎样有待观察，毕竟大家都是摸着石头过河。”一位区块链技术开发公司负责人对于比特币等虚拟货币在中国的未来发表了这样的看法。他本人是比特币等虚拟货币的持有者，也曾经动过做ICO的念头。
　　“幸好没有做ICO，如果做了现在就不会这么好过了。ICO热的时候，有员工被做ICO的公司挖走了，也有员工直接去做ICO了，所以对我们公司造成的压力极其巨大。现在ICO被叫停了，我就不用担心人家来挖人了。”这位负责人表示，现在叫停ICO对区块链技术开发企业来说反而是有利的，监管层对ICO、虚拟货币和交易所出台的一系列强监管措施也并不影响区块链业务的拓展。
　　交易所层面的虚拟货币交易关停在即，清退工作进度如何？数字资产投资者抱有怎样的态度？交易所、发行方将转战哪些业务领域？区块链技术开发应该是否受到影响？带着这些问题，本报记者近日进行了一番调查。
　　清退遇到骗子
　　毫无疑问，甚嚣尘上的ICO是此轮强监管出手整治虚拟货币交易的导火索。8月以来，监管层多次提示了ICO项目以及以“币”为名称的非法金融活动的众多风险，同时要求金融行业积极抵制ICO以及与虚拟货币相关的非法金融活动。
　　9月4日，央行等七部委紧急叫停ICO交易；9月2日至14日，多家比特币交易平台提高手续费；9月14日，比特币中国宣布9月底停止所有交易；9月15日，北京市互联网金融风险专项整治工作领导小组发文清退虚拟货币交易所。
　　“这也是希望从市场角度将数字货币行业可能带来的风险隔离在外。”一位律师对记者表示，事实上，监管机构和司法机关就ICO清退没有给出一个明确、统一的标准。目前，市场上自发形成的规则是按照发行价清退，“也就是以原生代币发行当时对应的比特币等虚拟资产的价格进行清退，将交易双方的权利义务恢复到‘最初状态’。”
　　那么，清退工作是否顺利呢？一位非主流数字货币发行方人士告诉记者，其目前已完成了60%的代币清退工作，但清退过程中也遇到不少问题，包括交易所推诿责任、购买方不愿意退币、假装买币的骗子时而出现并要求退币。
　　前述律师建议，清退工作需注意以下事项：妥善解除合同，恢复原状；清退留痕，拥抱“排查”；清退有序，杜绝群体性事件；万不可篡改和销毁证据（含ICO白皮书）。
　　转战海外场外交易和“挖矿”
　　“原价求购一台蚂蚁矿机S9。”监管层发文清退虚拟货币交易所后，一位虚拟货币交易平台负责人准备将更多精力放在“挖矿”上。他入手了一些“矿机”，近期在内蒙古寻找便宜的电价资源，以运维他那高耗电的大规模“矿场”。
　　尽管国内交易所层面的虚拟货币交易即将关停，但不少人认为，短期内比特币还是很难禁止的，“只是不能公开进行集中竞价交易了，今后中国的比特币交易可能会转变为地下交易、场外交易甚至转移到海外交易。”
　　上述平台负责人也在他的小圈子里展示了一些海外交易平台操作教程，包括注册、充值、提现、提币等，也分享了一些海外ICO的投资机会。
　　正如上述平台负责人所做的，中国互联网金融创新研究院院长黄震表示，交易平台可能会在境外寻找一些为用户继续提供服务的方式，也有把用户转移交给海外平台的可能性。另外，一些交易平台也可能会转型做一些区块链的开发业务，或开展金融科技投资等。
　　“比特币等虚拟货币确实存在逃避外汇管制的行为，已经累积了一定的社会风险，并威胁到主权货币地位，当局出于维稳考虑决定叫停ICO并关停交易所。”前述律师表示，投资者应该意识到比特币的投资风险，不管是继续持有还是抛掉，都应对比特币的风险持有“愿赌服输”的态度。
　　作为比特币等虚拟货币的持有者，前述区块链技术开发公司负责人选择继续持有比特币和以太坊等他认为“长期看涨”的虚拟货币，对于“没什么价值”的非主流虚拟货币，他选择了退币。
　　“ICO确实太过了，虚假的、不切实际、空对空的、各怀鬼胎的成分太多，助长了不靠谱的行为。国家通过这种手段降温，也避免不明真相的群众亏钱。”他说。
　　区块链市场广阔
　　诞生于8年前的比特币将区块链技术安全性高、价值传递的特性直接展现在了人们的眼前，那么，此轮虚拟货币强监管风暴会不会对区块链技术的发展和应用产生影响？
　　“没有比特币，区块链照样玩得转。区块链可以做的应用非常多，市场前景很好，也没有受到此轮监管政策的影响，因为人们对于区块链技术的认识度和共识度越来越高。”前述区块链技术开发公司负责人表示，不能把比特币等虚拟货币等同于区块链技术，比特币的技术是不能直接应用于企业的，必须经过改造，区块链技术落地到企业应用还有很多其他工作要做。
　　谈及区块链技术应用于金融方面的优点，这位负责人表示，一是区块链具有不可篡改的属性，这意味着数据可以累积起来成为信用，而且这些信用在区块链上是可以被证明的，因此无需担保和评级等中介服务，可以直接向投资者融资；二是当前线下纸质交易成本仍然很高，基于区块链，票据、应收款、债权等签约成本就会变得很低且可以分割，对投资人来说也可以分散投资风险。
　　“现在大银行不喜欢做小微金融，因为如果只放几万元贷款，银行做企业调查的成本很高。但在区块链上，交易合同、库存情况都会有记载，而且都是真实、不可篡改的数据，这样一来投资者就不需要上门查验发票、订货单，审计、尽调、了解一家企业的成本变得很低，企业的融资成本进而就会降低。”该负责人说。
　　区块链技术的核心思路是去中心化。“但我们做的区块链应用中去中心化并不是必须的，更多是做分布式的。”对于区块链技术当前的落地情况，该负责人说，其公司更多在做许可链的应用。在比特币的技术中，任何人只要有“矿机”就可以设置节点、参与生态；而在许可链中，只有被认可的节点才可以参与投票、记账。
　　“类似的业务我们大概做了20家，和比特币等虚拟货币没有任何关系。”该负责人认为，“区块链是不可阻挡的历史潮流，基于区块链的ICO也确实可以解决高科技企业的融资问题，但前提必须规范化。至于今后如何发展，仍有待观察。”
",发布日期：2017-09-29 07:52,“没有比特币，区块链照样玩得转”虚拟货币交易所关停倒计时众生相
"
　　9月27日，李克强总理主持召开国务院常务会议，部署强化对小微企业的政策支持和金融服务。会议决定，采取减税、定向降准等手段，激励金融机构进一步加大对小微企业的支持。其中，包括对单户授信500万元以下的小微企业贷款、个体工商户和小微企业主经营性贷款及农户生产经营、创业担保等贷款增量或余额达到一定比例的商业银行实施定向降准，并适当给予再贷款支持。
　　多数受访专家表示，此次定向降准的决定时机成熟，符合市场预期，一方面是贯彻落实的金融工作会议提出的扶持中小企业的政策导向，以缓解中小企业融资难、融资贵问题；另一方面，此次定向降准是增量政策而非存量政策，对市场预期引导的政策意图明确，更多是结构化调整。
　　早在2014年4月16日，国务院常务会议第一次明确指出，“对符合要求的县域农村商业银行和合作银行适当降低存款准备金率”。2014年4月22日，中国人民银行决定从4月25日起下调县域农村商业银行人民币存款准备金率两个百分点，下调县域农村合作银行人民币存款准备金率0.5个百分点。2014年5月30日，国务院常务会议提出“加大定向降准措施力度”。2014年6月9日，中国人民银行决定从6月16日起对符合审慎经营要求且“三农”和小微企业贷款达到一定比例的商业银行下调人民币存款准备金率0.5个百分点，对财务公司、金融租赁公司和汽车金融公司下调人民币存款准备金率0.5个百分点。
　　九州证券全球首席经济学家邓海清认为，从历史经验可以看出，国务院常务会议明确提出“定向降准”之后，降准政策可能会立即跟上，“立竿见影”。
　　邓海清称，国务院提出“定向降准”以及再提“缓解融资难、融资贵”的说法，政策重心在稳定实体经济发展问题上，也意味货币政策至少不会存在进一步收紧的可能性，但并不是指“货币政策将开启宽松周期”，市场应该区别开来。定向降准必须叠加公开市场回笼，在保证总量中性的情况下，实现结构的优化、缓解市场预期。
　　此次国务院常务会议提出，加大对小微企业发展的财政金融支持力度，特别是推动缓解融资难、融资贵问题，有利于促进创业创新和新动能成长、扩大就业、增强经济发展活力和包容性。
　　2013年以来，国务院出台一系列措施，加大差异化政策支持，引导金融机构持续强化小微企业融资服务，截至2017年6月末，小微企业贷款余额22.6万亿元，是2012年末的1.95倍，占全部企业贷款的32%。2016年全国小微企业贷款加权平均利率5.88%，同比下降0.25个百分点。即便如此，中小企业融资难、融资贵的问题依然很突出，上半年，小微企业贷款增量仅占同期企业贷款的30%，比上年同期占比水平低6.3个百分点。
　　中信证券研究团队明明认为，此次定向降准大力支持小微企业的信号意味较为浓厚，显示了政府对小微企业、创业企业的关注，后续政策出台及落地值得关注。另外，“三农”和小微企业投资乏力、融资不足，面临较大压力，政府对小微企业的关注仍在继续。定向降准一举两得，将推动普惠金融满足小微企业融资需求。
　　关于此次定向降准，市场有观点认为，在去杠杆的大背景下，定向降准将会导致加杠杆卷土重来。但在邓海清看来，定向降准是“降准+回笼”的结构性政策，并不会赋予市场宽松的加杠杆环境，在叠加当前严监管的背景下，金融机构的杠杆行为受到了严格的控制，加杠杆并不会卷土重来。
　　同时，邓海清认为，定向降准的普惠性有可能降低金融杠杆。原因在于，高杠杆的一个重要原因在于同业业务激增，而同业业务主要原因在于大型银行、中小银行结构性失衡严重，小型银行不得不通过同业业务获得资金。“定向降准+回笼”之后，将有助于缓解资金的结构性问题，解决同业业务居高不下的窘境，从而有助于降低杠杆率。
　　天风固收研究团队认为，定向降准有利于部分缓解今年以来中小银行负债成本高企的压力。
",发布日期：2017-09-29 08:13,定向降准：小微企业获更大支持
"
　　9月27日，中国互联网金融协会第一届常务理事会2017年第二次会议在北京召开。会议深入学习贯彻落实第五次全国金融工作会议精神，共同商讨互联网金融自律管理工作。协会领导、各常务理事代表出席会议，监事单位代表列席会议。人民银行、银监会、证监会和保监会派员出席会议。会议分别由协会副会长谢一群和副会长戴文华主持。
　　协会会长李东荣首先传达了参加第五次全国金融工作会议情况，并就如何深入学习理解和贯彻全国金融工作会议精神提出要求。协会秘书长陆书春向大会作工作报告。会议审议并通过了互联网消费金融信息披露、个体网络借贷信息披露和互联网金融云计算等多项团体标准以及互联网股权融资专业委员会工作规则及提名人选，统计分析专业委员会、惩戒委员会、申诉（反不正当竞争）委员会换届名单等重要事项。
",发布日期：2017-09-29 08:23,中国互联网金融协会召开第一届常务理事会2017年第二次会议
"
　　共青团中国人民银行第三次代表大会9月25日至26日在北京召开。人民银行党委副书记、副行长易纲，共青团中央书记处书记傅振邦出席会议并讲话，人民银行党委委员、副行长殷勇主持第二次全体会议。会议审议通过了人民银行团委工作报告，选举产生了人民银行新一届团的委员会，圆满完成了各项预定任务。
　　易纲表示，党的十八大以来，人民银行各级团组织在人民银行党委和团中央的领导下，深入学习贯彻习近平总书记系列重要讲话精神和治国理政新理念新思想新战略，紧紧围绕人民银行中心工作，围绕加强青年思想引领和服务青年成长成才，组织开展了一系列紧跟时代、青年欢迎、党委满意的品牌活动，共青团和青年工作取得了显著成效。
　　易纲指出，广大央行青年要牢固树立与时代主题同心同向的理想信念，积极投身金融改革发展稳定工作，坚持学习并在实践中增长才干，注重加强道德修养。他勉励广大央行青年要多读书读好书；进一步树立公共意识，关心国家关心世界；要不断提高专业水平，培养专业精神。他要求人民银行各级团组织和广大团干部要始终牢牢把握坚持党的领导这个政治方向，不断创新组织动员广大青年服务央行中心工作的载体和方式，坚持青年主体地位，牢固树立服务意识，大力推进从严治团，加强团干部队伍建设。
　　易纲强调，人民银行各级党委要坚持党建带团建，切实加强党对青年工作的领导；坚持统筹指导，为做好青年工作提供有力支持；选好用好团干部，为党培养得力助手和后备军。
　　傅振邦充分肯定了人民银行上一届团委的工作情况，并代表团中央书记处对大会的胜利召开表示祝贺。他要求人民银行各级团组织和广大团干部认真学习贯彻习近平总书记关于共青团工作的重要论述，当好党联系青年的桥梁和纽带，希望人民银行团员青年更多关注广大青年的成长发展，积极推动中长期青年发展规划的贯彻实施。
　　会议全面回顾总结了过去5年人民银行系统共青团和青年工作，深入分析当前共青团和青年工作面临的形势和任务，明确提出今后5年人民银行共青团和青年工作要紧紧围绕人民银行党委和团中央工作要求，紧紧围绕增强政治性、先进性、群众性，坚持党的领导这个根本，以思想引领为首要任务，以围绕中心服务大局为工作主线，以服务青年为工作导向，大力推进从严治团，团结带领人民银行系统广大团员青年为推动金融改革发展和央行事业贡献青春和力量。
　　总行各司局、党委各部门、在京直属企事业单位及相关单位负责同志和全系统近150名团代表在主会场参加了会议，各分支机构负责同志和全体团干部在各地分会场参加了会议。
",发布日期：2017-09-29 08:27,共青团中国人民银行第三次代表大会在京召开
,发布日期：2017-01-17 13:23,金融时报广告刊例
,,
,责任编辑：liang,南京：清明节前寄哀思
,发布日期：2017-07-11 09:44,全国首台流通纪念币自助兑换设备在南京投入运行
"
　　习近平总书记在庆祝中国共产党成立95周年大会上明确提出，中国共产党人“坚持不忘初心、继续前进”，就要坚持“四个自信”，即“中国特色社会主义道路自信、理论自信、制度自信、文化自信”。他还强调指出，“文化自信，是更基础、更广泛、更深厚的自信”。“四个自信”对坚定全党和全国人民的信心起到了十分重要的作用，对实现中华民族伟大复兴的中国梦具有极为重要的意义。
　　中国经济总量早已跃居世界第二，在国务院总理李克强最新所作政府工作报告中披露的信息更是令人鼓舞。2016年在面临国际国内复杂经济形势的情况下，国内生产总值达到74.4万亿元，增长6.7%，名列世界前茅，对全球经济增长的贡献率超过30%。
　　这样使人为之欣喜的成绩显然不会凭空取得，而是得益于中国共产党的正确领导，是新中国成立以来，特别是改革开放以来，中国共产党带领全国人民求真务实谋发展成果的体现。对此，我们要理所当然地充满“四个自信”。
　　但是，关起门来不是自信，拒绝改革固步自封更不是自信。打开国门的唐朝书写了盛世的辉煌，闭关锁国的清朝引来了百年屈辱。以史为鉴，习近平总书记为何这几年参加两会都会提到“开放”也就不难理解。
　　3月５日，习近平总书记在参加他所在的十二届全国人大五次会议上海代表团审议时强调，解放思想，勇于担当，敢为人先，坚定践行新发展理念，深化改革开放，引领创新驱动，不断增强吸引力、创造力、竞争力。习近平的话，不仅是对上海的期望，也是对全国人民的要求。
　　当前，中国经济进入新常态，中国的改革进入深水区，需要爬坡过坎“啃最硬的骨头”，更需要全国上下凝聚共识，坚定共识，强化“四个自信”，紧密团结在以习近平同志为核心的党中央周围,坚决维护党中央权威,坚决贯彻党中央各项决策部署，深化改革开放，共同为中华民族的伟大复兴而奋斗。
　　金融业理应在这一历史进程中发挥自身的重要作用。整顿规范金融秩序，守住金融安全底线，坚持汇率市场化改革方向，保持人民币在全球货币体系中的稳定地位，为改革开放营造良好金融生态环境，更是应尽之义。维护流动性基本稳定，合理引导市场利率水平，疏通传导机制，促进金融资源更多流向实体经济，帮助企业积极稳妥去杠杆，为企业创新发展打造更加完善的金融支持体系，同样大有作为。
　　相信，随着改革开放在延续民族文化血脉中开拓前进，中国经济将不断强盛，当代中国文化也会越来越多地被世界人民认同。
　　而这，不正是我们中国梦的一部分吗？
",发布日期：2017-03-09 09:47,坚定改革开放 共筑中国梦
,责任编辑：yhao,浙江诸暨农商银行助力香榧产业发展
"　　国务院总理李克强10月31日主持召开国务院常务会议，听取国务院第三次大督查情况汇报，推动改革发展和民生改善政策措施切实落地见效；确定全面推进政务公开相关实施细则，促进政府施政更加透明高效。 
　　会议指出，督查是促发展的“利器”。在过去两年开展全国大督查的基础上，近期国务院再次对31个省（区、市）、新疆生产建设兵团和30个国务院部门、单位开展督查。总的看，今年以来各地区、各部门认真落实中央经济工作会议和政府工作报告确定的各项部署，在促进经济平稳增长、推进供给侧结构性改革、抓好“三去一降一补”重点任务、推动“双创”、培育发展新动能、破解民生难题等方面取得积极成效。但也发现一些突出问题：一些“放管服”和其他重点领域改革措施在有些地方和部门落实不到位，部分重大建设进度慢，一些地方民间投资、创业创新存在制度约束，脱贫攻坚、环境治理等民生工作仍有不少“短板”等。会议要求，各地区、各部门要抓住后两个月关键时期，切实整改督查发现的问题。一是强化工作落实责任机制，认真研究督查中各方提出的意见建议，抓住牵一发动全身的重点问题，围绕推进重大建设、吸引民间投资促进医养结合等新兴产业发展和保障房、扶贫、医保等重大民生事项，提出有效解决办法，促进供给结构更好适应需求结构变化，提高发展质量效益。二是各级政府要克服重发文轻落实现象，进一步整治“文山会海”。三是加强政府系统纵向、横向协调，加快各类政务信息系统整合共享，防止相互掣肘影响发展。会议强调，为确保党中央、国务院重大决策部署落实，必须注重发挥各方积极性，坚持赏罚分明，建立健全容错机制，鼓励各地干事创业。对抓落实有力有效的地方和部门要推广其经验，并将对地方的激励措施从去年的6项增加到24项，在改革试点、财政投入、项目布局、融资发债等方面进一步加大政策倾斜和支持。对不作为、乱作为的，要依法依规严肃问责。推动各地区、各部门铆足干劲、真抓实干，全面完成全年经济社会发展主要目标任务，实现“十三五”良好开局，为明年工作奠定坚实基础。",发布日期：2016-11-01 07:51,国务院常务会议要求推动改革发展和民生改善政策措施切实落地见效
,发布日期：2017-09-26 10:54,株洲金融知识宣传
"
　　央行6月20日发布的《2017年第二季度银行家问卷调查报告》显示，货币政策感受指数为36.6%，比上季和去年同期分别下降了6.4个和21.7个百分点。其中，有30.1%的银行家认为货币政策“偏紧”，比上季提高9.8个百分点；66.6%的银行家认为“适度”, 比上季下降6.9个百分点。下季度货币政策感受预期指数为37.4%，高于本季0.8个百分点。
　　此外，二季度银行家宏观经济热度指数为35.2%，比上季提高2.2个百分点。其中, 67%的银行家认为当前宏观经济“正常”，比上季提高4.8个百分点；31.3%的银行家认为当前宏观经济“偏冷”，比上季下降4.6个百分点。银行家宏观经济热度预期指数为36.4%，比本季提高1.2个百分点。银行家宏观经济信心指数为67.8%，较上季提高2.9个百分点。
　　当天还发布了《2017年第二季度城镇储户问卷调查报告》和《2017年第二季度企业家问卷调查报告》。
　　前者显示，对下季房价，31.2%的居民预期“上涨”，46.1%的居民预期“基本不变”，9.6%的居民预期“下降”，13.1%的居民“看不准”。
　　后者显示，二季度经营景气指数为54.6%，比上季提高1.9个百分点，比去年同期提高6.3个百分点。其中，24.4%的企业家认为本季企业经营状况“较好”，60.3%认为“一般”，15.2%认为“较差”。同时，盈利指数为56.1%，比上季提高6.2个百分点，比去年同期提高3.4个百分点。
",发布日期：2017-06-21 08:40,央行发布二季度银行家、企业家、城镇储户问卷调查报告宏观经济预期向好 企业经营景气提升
,,
